1.0,0.096,49.0
2.0,0.114,50.0
3.0,0.117,86.0
4.0,0.145,19.0
5.0,0.112,58.0
6.0,0.112,54.0
7.0,0.115,50.0
8.0,0.11,59.0
9.0,0.11,50.0
10.0,0.111,50.0
11.0,0.12,37.0
12.0,0.117,127.0
13.0,0.143,19.0
14.0,0.109,60.0
15.0,0.115,90.0
16.0,0.107,50.0
17.0,0.112,50.0
18.0,0.116,50.0
19.0,0.123,62.0
20.0,0.111,50.0
21.0,0.105,50.0
22.0,0.12,62.0
23.0,0.115,53.0
24.0,0.111,50.0
25.0,0.111,50.0
26.0,0.11,50.0
27.0,0.112,50.0
28.0,0.108,57.0
29.0,0.11,50.0
30.0,0.106,50.0
31.0,0.107,60.0
32.0,0.119,50.0
33.0,0.109,58.0
34.0,0.106,50.0
35.0,0.122,63.0
36.0,0.105,50.0
37.0,0.106,50.0
38.0,0.107,43.0
39.0,0.103,50.0
40.0,0.105,50.0
41.0,0.102,50.0
42.0,0.116,51.0
43.0,0.108,50.0
44.0,0.112,50.0
45.0,0.11,52.0
46.0,0.111,60.0
47.0,0.107,50.0
48.0,0.109,50.0
49.0,0.123,103.0
50.0,0.109,61.0
51.0,0.115,86.0
52.0,0.102,50.0
53.0,0.111,51.0
54.0,0.103,50.0
55.0,0.112,52.0
56.0,0.113,50.0
57.0,0.149,19.0
58.0,0.102,59.0
59.0,0.122,64.0
60.0,0.107,61.0
61.0,0.115,62.0
62.0,0.11,62.0
63.0,0.126,64.0
64.0,0.099,50.0
65.0,0.11,86.0
66.0,0.097,50.0
67.0,0.122,64.0
68.0,0.102,50.0
69.0,0.11,53.0
70.0,0.116,50.0
71.0,0.118,65.0
72.0,0.105,58.0
73.0,0.116,64.0
74.0,0.098,50.0
75.0,0.09,50.0
76.0,0.117,50.0
77.0,0.128,50.0
78.0,0.097,51.0
79.0,0.117,62.0
80.0,0.114,60.0
81.0,0.118,67.0
82.0,0.127,100.0
83.0,0.121,50.0
84.0,0.093,50.0
85.0,0.104,50.0
86.0,0.109,50.0
87.0,0.12,64.0
88.0,0.113,50.0
89.0,0.124,62.0
90.0,0.119,50.0
