,0,1
"(20, -4)",0.8815631895727646,0.8475189322804562
"(19, -5)",0.8333186510584241,0.5801667863766433
"(18, -5)",0.8506134707110238,0.7293944492639284
"(18, -4)",0.87567539881799,0.7912157882441955
"(18, -3)",0.8848624666899416,0.7656409094901092
"(17, -2)",0.8791466832244097,0.4959069490505887
"(16, -2)",0.8800498608604799,0.7193893896575709
"(15, -2)",0.8487973556626379,0.4589520247152051
"(14, -3)",0.8372404058484928,0.6570959532792553
"(14, -4)",0.5197535685424666,0.8067226900323795
"(13, -2)",0.792751176030724,0.5550239972689138
"(13, -1)",0.6071602079450131,0.8833777277646808
"(12, -1)",0.6646447078124806,0.32000748903380194
"(12, 0)",0.7449619106805809,0.5772983609497775
"(11, 0)",0.6682639302840369,0.2647084650000804
"(10, 0)",0.7057448009619519,0.2346085367971688
"(10, -1)",0.6456683540064283,0.0
"(9, -2)",0.6867993778552688,0.18448960292170763
"(9, -3)",0.6310875507625552,0.3698993926418256
"(8, -4)",0.3459299930025206,0.564902220389608
"(8, -5)",0.21300423699899984,0.09863457647035276
"(8, -6)",0.19450695619815156,0.07889557926161794
"(7, -7)",0.009819553771437492,0.08313527935389299
"(7, -8)",0.09016311580074171,0.0
"(7, -9)",0.09642381215954939,-0.010040877344761716
"(6, -10)",0.0,-0.091
"(6, -9)",-0.19,-0.1819
"(20, -6)",0.8613843750256737,0.6424631115173728
"(20, -3)",0.9028803477533603,0.6866336616667994
"(19, -2)",0.9084730425324921,0.8427061810660161
"(19, -1)",0.9021171055727479,0.5672356811627146
"(18, -1)",0.878067543954792,0.46074846704637673
"(18, 0)",0.8089236344302462,0.4353786518216741
"(17, 0)",0.8635113166978912,0.5693741556460914
"(17, -1)",0.8916097250878692,0.606763037433313
"(16, -1)",0.876854858597392,0.5765900375159788
"(15, -3)",0.8394115184914045,0.6102834429083931
"(15, -4)",0.8212650008547933,0.7459861351699474
"(14, -5)",0.6683043166914496,0.21946993481688187
"(14, -6)",0.7109653433051091,0.16838772315668457
"(14, -7)",0.6896315716964442,0.35376423651032773
"(13, -8)",0.7206147913429444,0.3968087651306166
"(13, -9)",0.7106465194706709,0.4163420219980438
"(13, -10)",0.3474575414594443,0.7237776876549464
"(12, -11)",0.04724533364041,0.3348275134084864
"(12, -12)",0.0714451378141,0.0
"(12, -13)",0.028088290000000002,0.0
"(11, -14)",0.059697883900000005,0.01235664568
"(11, -15)",0.0,0.041285749600000005
"(10, -14)",-0.08209000000000001,0.027208987033420003
"(10, -13)",0.0764563897040165,0.0
"(10, -12)",0.11968338778118325,0.024910188387516588
"(9, -12)",-0.06064585099999999,0.0
"(9, -11)",0.13597862684824724,0.025326815513881846
"(8, -11)",0.05305555090837038,0.0
"(7, -12)",0.027910000000000004,0.0
"(6, -13)",0.010000000000000002,0.0
"(6, -14)",-0.1,0.0
"(20, 0)",0.7995669452652718,0.30423804279044275
"(18, -6)",0.8052364048767514,0.5296416686057097
"(18, -7)",0.7654357354522038,0.3940434953031058
"(18, -8)",0.17017020558200496,0.7811976335659387
"(17, -7)",0.7832852739069233,0.5752801506496297
"(17, -6)",0.8403800693305437,0.5891680691925845
"(16, -5)",0.8618537212852321,0.5142400463551147
"(16, -4)",0.8494861026329159,0.4317836643453505
"(14, -2)",0.6262381744986875,0.8475276849985752
"(13, 0)",0.856223665290077,0.6184777745507734
"(12, 1)",0.7788721949857178,0.6114117477139381
"(11, 2)",0.787999058202689,0.5425596828900214
"(10, 2)",0.7663424702543151,0.4547137469174624
"(10, 1)",0.754491122725072,0.2948528625411693
"(9, 0)",0.7315148991745456,0.3030271042320962
"(9, -1)",0.6806597420439855,0.13305897776682188
"(8, -1)",0.6945912442246315,0.3067474337794766
"(8, -2)",0.6567731409515709,0.2312380993199624
"(8, -3)",0.16006688150043769,0.653217273007571
"(7, -2)",0.32954840259538665,0.02073474404566729
"(7, -1)",0.7184140320660233,0.19040792751368582
"(7, 0)",0.7960304264199198,0.46812409817230133
"(6, 0)",0.08536865776554446,0.7832615846077626
"(6, 1)",0.7652202581412093,0.5020095809825179
"(5, 1)",0.11469413168643029,0.7496724867246857
"(5, 2)",0.7373068632570935,0.5574092451476426
"(4, 1)",0.023161812681593993,0.5212656701398939
"(14, 6)",0.6164822025698776,0.2184119176065444
"(14, 7)",0.505717513660062,0.14224428733965233
"(13, 7)",0.8474872238838522,0.2663189510387319
"(13, 8)",0.5434038021225226,0.3685988561738624
"(12, 8)",0.07212346244782325,0.3822800483757941
"(12, 9)",0.037917106278371464,0.28599234119415645
"(11, 9)",0.09863369529655511,0.5093906684267099
"(11, 10)",0.541032590490937,0.1838891766202288
"(10, 11)",0.5566714431769291,0.0722219570365532
"(10, 12)",0.5363165398914749,0.2545061774518862
"(9, 12)",0.15710067445514275,0.46702285591202786
"(9, 13)",0.40612789818685113,0.16226363538942198
"(8, 13)",0.09657690147559284,0.03815171413782575
"(8, 12)",0.14894745118372463,0.09899377528693598
"(7, 12)",-0.0635119492756827,-0.0824302904188195
"(7, 11)",-0.12729209033970645,-0.15997922653670418
"(6, 10)",-0.6988102515720274,-0.7278123827053579
"(20, -2)",0.9182954192028161,0.8538065072258257
"(19, -3)",0.8989750728965487,0.7744792505054141
"(19, -4)",0.8825572064763758,0.7257258512016707
"(17, -8)",0.7258708235556548,0.31265018460934896
"(17, -9)",0.7160205681067204,0.27931065457522275
"(16, -10)",0.727608146561246,0.4432463136350391
"(16, -11)",0.7061238561450799,0.3766552962343252
"(16, -12)",0.7021250033159933,0.2277446563328801
"(15, -13)",0.7375501294574032,0.2669506673029452
"(15, -14)",-0.3561429604957882,0.7323088409282427
"(18, -2)",0.8934873631485571,0.7454664790571083
"(16, 0)",0.8580087088483928,0.48908995591897175
"(15, 0)",0.837128655360692,0.25219974892494873
"(15, -1)",0.8323151992289872,0.40187907062229533
"(14, -1)",0.8244004989187468,0.6462532650949984
"(14, 0)",0.8225910104230981,0.5820213491266638
"(13, 1)",0.7963665773188594,0.70416923903435
"(13, 2)",0.7306505831968029,0.3457048869962826
"(12, 2)",0.4858817570572691,0.7096730414585135
"(12, 3)",0.7378129004211729,0.3802105542110729
"(11, 3)",0.8075023047443446,0.5407792478289157
"(10, 3)",0.8036917111815621,0.6566977917273772
"(9, 3)",0.14848858360752468,0.7275922620984404
"(9, 4)",0.7296780631204616,0.4017880403377445
"(8, 5)",0.659660733871688,0.38656842346424747
"(8, 6)",0.42030304666489265,0.2831963600273676
"(7, 6)",0.37498085051258795,-0.025151300391759144
"(6, 6)",0.13398479083097897,-0.33811893637270724
"(6, 5)",0.5054190356539521,0.09535444192352557
"(6, 4)",0.690551634517187,0.13084803879988932
"(5, 4)",0.6793015773604055,0.2338385752742995
"(5, 3)",0.7056078619795074,0.5469597674661651
"(4, 2)",0.6929496697861808,0.24406776603713842
"(4, 0)",-0.1,0.08265309129497538
"(19, 0)",0.7611460667747786,0.33508005957373155
"(18, 1)",0.7009501487456296,0.4098266070551038
"(18, 2)",0.6066464972848061,0.16254420489859792
"(17, 2)",0.6914269256273913,0.08864702678989551
"(17, 3)",0.5702313046807723,0.14145696899013452
"(16, 3)",0.6661364935811859,0.10313739723426937
"(16, 2)",0.7887032756922098,0.24496535682422488
"(15, 2)",0.7714828286510893,0.14419941427823468
"(15, 1)",0.8374618655189622,0.42402025271455845
"(7, 5)",0.5802912580197934,0.2990404293883415
"(5, 6)",0.5464941888567707,-0.7712320754503901
"(19, -6)",0.8383896435294973,0.6010300300274405
"(19, -7)",0.2745924332931673,0.825534437919791
"(17, -4)",0.8460665819946126,0.3192172073277898
"(16, -3)",0.866411304133347,0.6605354972975761
"(11, 4)",0.7612453540565921,0.5841920638204925
"(10, 4)",0.7679255884478936,0.5095768458488018
"(10, 5)",0.7201202192900044,0.3784766472850882
"(9, 5)",0.6780679663442387,0.3703503057789933
"(8, 4)",0.6953997503818765,0.37624562036108067
"(8, 3)",0.7337817609412611,0.24082870900169395
"(7, 3)",0.7337751868608178,0.0784089576973308
"(7, 2)",0.723542701931559,0.14974780287408015
"(7, 1)",0.7384532004968991,0.3007095256916299
"(17, -3)",0.8853041696472079,0.44068266168299514
"(14, 1)",0.7907154628876425,0.44093663135009875
"(11, 1)",0.10972905233284913,0.7179327850994272
"(9, 6)",0.5839079820696803,0.331446922140421
"(8, 7)",0.30147892938657217,0.15851081032030692
"(7, 7)",0.05299306628453649,-0.048336302185535376
"(5, 5)",0.6004250160369629,0.0764468371576652
"(14, 2)",0.2985887057228236,0.6524854000471046
"(6, 7)",-0.5264463137899589,-0.6961228187299183
"(20, -5)",0.25231643347494026,0.8828375220630758
"(17, 1)",0.793263361881556,0.3406523127198374
"(16, 1)",0.8363455284806356,0.5515615997846061
"(6, 8)",-0.644561999933321,-0.7309493263685309
"(20, -1)",0.874604554815891,0.6365852999851594
"(12, -3)",-0.03875861563704812,0.25967568214783254
"(12, -4)",0.4257876837329588,0.014281185273949415
"(12, -5)",0.6472237543772783,0.1365588857242963
"(12, -6)",0.6896110188725793,0.16869475904463221
"(11, -6)",0.7143322587062939,0.3585098296200483
"(11, -7)",0.48776665129414587,0.11405381578956372
"(11, -8)",0.47544820762888923,0.023658601512774033
"(10, -9)",0.40928009802508614,0.05259119450147874
"(10, -10)",0.4780483892589147,0.17247917715106686
"(10, -11)",-0.005309768641940535,0.4132394845246564
"(10, 6)",0.6390897303114196,0.2662914482396348
"(7, 4)",0.6905404756439645,0.3803303220659827
"(6, 3)",0.7646585180556876,0.2104069374641559
"(6, 2)",0.7707894517702473,0.5646993753023335
"(4, 3)",0.6697761517658399,0.34208083589456617
"(4, 4)",0.6188668316798368,0.5562124020707154
"(12, 6)",0.5475052605895857,0.2445026257097212
